fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.39090909090909104,0.0684931506849315,0.48,0.07452339688041595,0.19081272084805656,0.4941262848751933,0.5118110236220472,0.1197604790419162,0.1636363636363638,0
0.27272727272727276,0.18493150684931509,0.31,0.08318890814558061,0.2296819787985866,0.5969162995594672,0.6141732283464565,0.1916167664670659,0.21818181818181803,0
0.3000000000000001,0.21232876712328763,0.21,0.12478336221837089,0.10954063604240281,0.47944199706314805,0.3385826771653542,0.34730538922155696,0.18181818181818188,0
0.35454545454545455,0.25342465753424653,0.11,0.08665511265164647,0.215547703180212,0.4941262848751933,0.3385826771653542,0.1197604790419162,0.1636363636363638,0
0.20909090909090916,0.1917808219178082,0.14,0.08838821490467938,0.12014134275618375,0.4941262848751933,0.5433070866141732,0.17964071856287425,0.21818181818181803,0
0.1545454545454546,0.18493150684931509,0.16,0.07972270363951472,0.06007067137809187,0.3986784140969206,0.47244094488188937,0.13772455089820365,0.14545454545454573,0
0.27272727272727276,0.19863013698630133,0.24,0.07972270363951472,0.0176678445229682,0.4500734214390576,0.4251968503937005,0.155688622754491,0.18181818181818188,0
0.3000000000000001,0.21232876712328763,0.21,0.12478336221837089,0.10954063604240281,0.47944199706314805,0.3385826771653542,0.34730538922155696,0.18181818181818188,0
0.22727272727272724,0.40410958904109584,0.0,0.07972270363951472,0.10247349823321555,0.5234948604992695,0.5748031496062991,0.1317365269461078,0.1636363636363638,0
0.29090909090909095,0.3595890410958904,0.0,0.08318890814558061,0.0353356890459364,0.4647577092511028,0.5039370078740153,0.155688622754491,0.23636363636363655,0
0.19090909090909097,0.3801369863013699,0.07,0.09532062391681109,0.26855123674911663,0.42070484581498135,0.4803149606299213,0.125748502994012,0.290909090909091,0
0.20909090909090916,0.386986301369863,0.0,0.12305025996533794,0.10954063604240281,0.47944199706314805,0.5669291338582676,0.1437125748502994,0.38181818181818183,0
0.3363636363636365,0.3664383561643836,0.12,0.08492201039861352,0.37809187279151946,0.47944199706314805,0.3385826771653542,0.1976047904191617,0.23636363636363655,0
0.20909090909090916,0.3321917808219178,0.12,0.06759098786828421,0.27208480565371024,0.6776798825256947,0.5590551181102361,0.1137724550898204,0.1636363636363638,0
0.05454545454545462,0.136986301369863,0.25,0.11958405545927209,0.15547703180212014,0.41336270190896585,0.5039370078740153,0.1317365269461078,0.1272727272727272,0
0.29090909090909095,0.3595890410958904,0.0,0.0901213171577123,0.04240282685512367,0.6262848751835577,0.5196850393700787,0.1317365269461078,0.19999999999999996,0
0.29090909090909095,0.3287671232876712,0.14,0.0901213171577123,0.03180212014134276,0.5455212922173303,0.5354330708661417,0.1616766467065868,0.41818181818181843,0
0.3181818181818182,0.1780821917808219,0.28,0.05545927209705373,0.08480565371024736,0.4941262848751933,0.38582677165354307,0.2395209580838323,0.21818181818181803,1
0.10000000000000003,0.6917808219178081,0.09,0.23916811091854417,0.04593639575971732,0.28854625550661694,0.5984251968503935,0.08982035928143708,0.23636363636363655,0
